FECHA_INGRESO,edo,RESULTADO
2020-03-20,COAHUILA DE ZARAGOZA,4
2020-03-20,GUANAJUATO,4
2020-03-20,HIDALGO,3
2020-03-20,JALISCO,5
2020-03-20,MICHOACÁN DE OCAMPO,2
2020-03-20,MORELOS,1
2020-03-20,MÉXICO,10
2020-03-20,NUEVO LEÓN,12
2020-03-20,OAXACA,1
2020-03-20,PUEBLA,5
2020-03-20,QUINTANA ROO,1
2020-03-20,SAN LUIS POTOSÍ,3
2020-03-20,SINALOA,1
2020-03-20,SONORA,1
2020-03-20,TABASCO,2
2020-03-20,TAMAULIPAS,1
2020-03-20,VERACRUZ DE IGNACIO DE LA LLAVE,1
2020-03-20,YUCATÁN,6
2020-03-20,ZACATECAS,1
2020-03-21,AGUASCALIENTES,1
2020-03-21,BAJA CALIFORNIA,3
2020-03-21,BAJA CALIFORNIA SUR,1
2020-03-21,CHIHUAHUA,1
2020-03-21,CIUDAD DE MÉXICO,12
2020-03-21,DURANGO,1
2020-03-21,GUANAJUATO,11
2020-03-21,GUERRERO,1
2020-03-21,HIDALGO,3
2020-03-21,JALISCO,1
2020-03-21,MICHOACÁN DE OCAMPO,5
2020-03-21,MORELOS,1
2020-03-21,MÉXICO,5
2020-03-21,NUEVO LEÓN,4
2020-03-21,OAXACA,1
2020-03-21,PUEBLA,4
2020-03-21,QUERÉTARO,1
2020-03-21,QUINTANA ROO,3
2020-03-21,SAN LUIS POTOSÍ,4
2020-03-21,SONORA,1
2020-03-21,VERACRUZ DE IGNACIO DE LA LLAVE,1
2020-03-21,ZACATECAS,1
2020-03-22,AGUASCALIENTES,1
2020-03-22,BAJA CALIFORNIA,2
2020-03-22,CHIHUAHUA,1
2020-03-22,CIUDAD DE MÉXICO,11
2020-03-22,GUANAJUATO,1
2020-03-22,JALISCO,3
2020-03-22,MÉXICO,5
2020-03-22,NUEVO LEÓN,4
2020-03-22,OAXACA,1
2020-03-22,PUEBLA,2
2020-03-22,QUINTANA ROO,4
2020-03-22,SAN LUIS POTOSÍ,1
2020-03-22,SINALOA,1
2020-03-22,TAMAULIPAS,2
2020-03-22,YUCATÁN,8
2020-03-22,ZACATECAS,1
2020-03-23,AGUASCALIENTES,4
2020-03-23,BAJA CALIFORNIA,10
2020-03-23,BAJA CALIFORNIA SUR,4
2020-03-23,CAMPECHE,1
2020-03-23,CHIAPAS,3
2020-03-23,CIUDAD DE MÉXICO,25
2020-03-23,COAHUILA DE ZARAGOZA,1
2020-03-23,DURANGO,1
2020-03-23,GUANAJUATO,6
2020-03-23,GUERRERO,1
2020-03-23,HIDALGO,1
2020-03-23,JALISCO,8
2020-03-23,MICHOACÁN DE OCAMPO,3
2020-03-23,MORELOS,2
2020-03-23,MÉXICO,15
2020-03-23,NAYARIT,2
2020-03-23,NUEVO LEÓN,5
2020-03-23,OAXACA,2
2020-03-23,PUEBLA,8
2020-03-23,QUERÉTARO,3
2020-03-23,QUINTANA ROO,3
2020-03-23,SAN LUIS POTOSÍ,2
2020-03-23,SINALOA,2
2020-03-23,SONORA,3
2020-03-23,TABASCO,3
2020-03-23,TAMAULIPAS,1
2020-03-23,TLAXCALA,1
2020-03-23,VERACRUZ DE IGNACIO DE LA LLAVE,4
2020-03-23,YUCATÁN,5
2020-03-24,BAJA CALIFORNIA,9
2020-03-24,BAJA CALIFORNIA SUR,2
2020-03-24,CHIHUAHUA,1
2020-03-24,CIUDAD DE MÉXICO,35
2020-03-24,COAHUILA DE ZARAGOZA,6
2020-03-24,COLIMA,1
2020-03-24,DURANGO,1
2020-03-24,GUANAJUATO,1
2020-03-24,HIDALGO,1
2020-03-24,JALISCO,7
2020-03-24,MICHOACÁN DE OCAMPO,3
2020-03-24,MORELOS,3
2020-03-24,MÉXICO,23
2020-03-24,NAYARIT,3
2020-03-24,NUEVO LEÓN,5
2020-03-24,OAXACA,1
2020-03-24,PUEBLA,15
2020-03-24,QUERÉTARO,4
2020-03-24,QUINTANA ROO,8
2020-03-24,SINALOA,6
2020-03-24,SONORA,4
2020-03-24,TABASCO,12
2020-03-24,TAMAULIPAS,1
2020-03-24,TLAXCALA,1
2020-03-24,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-03-24,YUCATÁN,8
2020-03-24,ZACATECAS,1
2020-03-25,AGUASCALIENTES,17
2020-03-25,BAJA CALIFORNIA,7
2020-03-25,CHIAPAS,2
2020-03-25,CHIHUAHUA,2
2020-03-25,CIUDAD DE MÉXICO,25
2020-03-25,DURANGO,1
2020-03-25,GUANAJUATO,4
2020-03-25,GUERRERO,3
2020-03-25,HIDALGO,5
2020-03-25,JALISCO,7
2020-03-25,MICHOACÁN DE OCAMPO,2
2020-03-25,MÉXICO,25
2020-03-25,OAXACA,3
2020-03-25,PUEBLA,6
2020-03-25,QUERÉTARO,2
2020-03-25,QUINTANA ROO,10
2020-03-25,SINALOA,8
2020-03-25,SONORA,3
2020-03-25,TABASCO,3
2020-03-25,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-03-25,YUCATÁN,3
2020-03-26,AGUASCALIENTES,3
2020-03-26,BAJA CALIFORNIA,11
2020-03-26,BAJA CALIFORNIA SUR,2
2020-03-26,CAMPECHE,1
2020-03-26,CHIHUAHUA,2
2020-03-26,CIUDAD DE MÉXICO,50
2020-03-26,COAHUILA DE ZARAGOZA,3
2020-03-26,GUANAJUATO,6
2020-03-26,GUERRERO,4
2020-03-26,HIDALGO,4
2020-03-26,JALISCO,6
2020-03-26,MICHOACÁN DE OCAMPO,3
2020-03-26,MÉXICO,27
2020-03-26,NUEVO LEÓN,1
2020-03-26,OAXACA,3
2020-03-26,PUEBLA,15
2020-03-26,QUERÉTARO,1
2020-03-26,QUINTANA ROO,9
2020-03-26,SAN LUIS POTOSÍ,1
2020-03-26,SINALOA,9
2020-03-26,SONORA,1
2020-03-26,TABASCO,5
2020-03-26,VERACRUZ DE IGNACIO DE LA LLAVE,5
2020-03-27,AGUASCALIENTES,6
2020-03-27,BAJA CALIFORNIA,16
2020-03-27,BAJA CALIFORNIA SUR,4
2020-03-27,CAMPECHE,3
2020-03-27,CHIAPAS,5
2020-03-27,CHIHUAHUA,2
2020-03-27,CIUDAD DE MÉXICO,39
2020-03-27,COAHUILA DE ZARAGOZA,4
2020-03-27,GUANAJUATO,5
2020-03-27,GUERRERO,3
2020-03-27,HIDALGO,4
2020-03-27,JALISCO,7
2020-03-27,MICHOACÁN DE OCAMPO,1
2020-03-27,MÉXICO,43
2020-03-27,NUEVO LEÓN,8
2020-03-27,OAXACA,1
2020-03-27,PUEBLA,9
2020-03-27,QUERÉTARO,4
2020-03-27,QUINTANA ROO,7
2020-03-27,SAN LUIS POTOSÍ,6
2020-03-27,SINALOA,9
2020-03-27,SONORA,5
2020-03-27,TABASCO,11
2020-03-27,TAMAULIPAS,1
2020-03-27,TLAXCALA,1
2020-03-27,VERACRUZ DE IGNACIO DE LA LLAVE,1
2020-03-27,YUCATÁN,2
2020-03-27,ZACATECAS,4
2020-03-28,AGUASCALIENTES,5
2020-03-28,BAJA CALIFORNIA,7
2020-03-28,BAJA CALIFORNIA SUR,4
2020-03-28,CHIAPAS,1
2020-03-28,CHIHUAHUA,2
2020-03-28,CIUDAD DE MÉXICO,49
2020-03-28,COAHUILA DE ZARAGOZA,4
2020-03-28,GUANAJUATO,4
2020-03-28,GUERRERO,3
2020-03-28,JALISCO,2
2020-03-28,MICHOACÁN DE OCAMPO,1
2020-03-28,MORELOS,3
2020-03-28,MÉXICO,27
2020-03-28,NAYARIT,1
2020-03-28,NUEVO LEÓN,2
2020-03-28,OAXACA,1
2020-03-28,PUEBLA,13
2020-03-28,QUERÉTARO,2
2020-03-28,QUINTANA ROO,7
2020-03-28,SINALOA,5
2020-03-28,SONORA,4
2020-03-28,TABASCO,1
2020-03-28,TAMAULIPAS,3
2020-03-28,TLAXCALA,2
2020-03-28,VERACRUZ DE IGNACIO DE LA LLAVE,1
2020-03-28,YUCATÁN,4
2020-03-28,ZACATECAS,1
2020-03-29,AGUASCALIENTES,3
2020-03-29,BAJA CALIFORNIA,21
2020-03-29,BAJA CALIFORNIA SUR,1
2020-03-29,CAMPECHE,1
2020-03-29,CHIHUAHUA,5
2020-03-29,CIUDAD DE MÉXICO,35
2020-03-29,COAHUILA DE ZARAGOZA,8
2020-03-29,GUANAJUATO,1
2020-03-29,GUERRERO,1
2020-03-29,HIDALGO,2
2020-03-29,JALISCO,2
2020-03-29,MICHOACÁN DE OCAMPO,3
2020-03-29,MORELOS,1
2020-03-29,MÉXICO,18
2020-03-29,NUEVO LEÓN,3
2020-03-29,OAXACA,2
2020-03-29,PUEBLA,4
2020-03-29,QUERÉTARO,1
2020-03-29,QUINTANA ROO,3
2020-03-29,SAN LUIS POTOSÍ,6
2020-03-29,SINALOA,6
2020-03-29,TABASCO,9
2020-03-29,TAMAULIPAS,3
2020-03-29,VERACRUZ DE IGNACIO DE LA LLAVE,1
2020-03-29,YUCATÁN,2
2020-03-30,AGUASCALIENTES,4
2020-03-30,BAJA CALIFORNIA,29
2020-03-30,BAJA CALIFORNIA SUR,13
2020-03-30,CHIAPAS,2
2020-03-30,CHIHUAHUA,3
2020-03-30,CIUDAD DE MÉXICO,77
2020-03-30,COAHUILA DE ZARAGOZA,18
2020-03-30,COLIMA,1
2020-03-30,DURANGO,2
2020-03-30,GUANAJUATO,5
2020-03-30,GUERRERO,2
2020-03-30,HIDALGO,7
2020-03-30,JALISCO,7
2020-03-30,MORELOS,1
2020-03-30,MÉXICO,53
2020-03-30,NUEVO LEÓN,4
2020-03-30,OAXACA,2
2020-03-30,PUEBLA,15
2020-03-30,QUERÉTARO,1
2020-03-30,QUINTANA ROO,22
2020-03-30,SAN LUIS POTOSÍ,3
2020-03-30,SINALOA,11
2020-03-30,SONORA,2
2020-03-30,TABASCO,10
2020-03-30,TAMAULIPAS,4
2020-03-30,TLAXCALA,1
2020-03-30,VERACRUZ DE IGNACIO DE LA LLAVE,4
2020-03-30,YUCATÁN,10
2020-03-31,AGUASCALIENTES,1
2020-03-31,BAJA CALIFORNIA,44
2020-03-31,BAJA CALIFORNIA SUR,7
2020-03-31,CHIAPAS,2
2020-03-31,CHIHUAHUA,5
2020-03-31,CIUDAD DE MÉXICO,51
2020-03-31,COAHUILA DE ZARAGOZA,14
2020-03-31,COLIMA,1
2020-03-31,DURANGO,2
2020-03-31,GUANAJUATO,2
2020-03-31,GUERRERO,4
2020-03-31,HIDALGO,7
2020-03-31,JALISCO,7
2020-03-31,MICHOACÁN DE OCAMPO,4
2020-03-31,MORELOS,1
2020-03-31,MÉXICO,34
2020-03-31,NAYARIT,2
2020-03-31,OAXACA,6
2020-03-31,PUEBLA,21
2020-03-31,QUERÉTARO,4
2020-03-31,QUINTANA ROO,15
2020-03-31,SAN LUIS POTOSÍ,2
2020-03-31,SINALOA,15
2020-03-31,SONORA,5
2020-03-31,TABASCO,11
2020-03-31,TAMAULIPAS,5
2020-03-31,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-03-31,YUCATÁN,4
2020-04-01,BAJA CALIFORNIA,66
2020-04-01,BAJA CALIFORNIA SUR,5
2020-04-01,CHIAPAS,4
2020-04-01,CHIHUAHUA,7
2020-04-01,CIUDAD DE MÉXICO,55
2020-04-01,COAHUILA DE ZARAGOZA,19
2020-04-01,COLIMA,2
2020-04-01,DURANGO,1
2020-04-01,GUANAJUATO,1
2020-04-01,GUERRERO,3
2020-04-01,HIDALGO,5
2020-04-01,JALISCO,2
2020-04-01,MICHOACÁN DE OCAMPO,4
2020-04-01,MORELOS,3
2020-04-01,MÉXICO,50
2020-04-01,OAXACA,1
2020-04-01,PUEBLA,16
2020-04-01,QUERÉTARO,3
2020-04-01,QUINTANA ROO,24
2020-04-01,SINALOA,14
2020-04-01,SONORA,1
2020-04-01,TABASCO,9
2020-04-01,TAMAULIPAS,8
2020-04-01,TLAXCALA,4
2020-04-01,VERACRUZ DE IGNACIO DE LA LLAVE,10
2020-04-01,YUCATÁN,9
2020-04-02,BAJA CALIFORNIA,30
2020-04-02,BAJA CALIFORNIA SUR,11
2020-04-02,CAMPECHE,2
2020-04-02,CHIAPAS,2
2020-04-02,CHIHUAHUA,6
2020-04-02,CIUDAD DE MÉXICO,71
2020-04-02,COAHUILA DE ZARAGOZA,19
2020-04-02,GUANAJUATO,2
2020-04-02,GUERRERO,1
2020-04-02,HIDALGO,1
2020-04-02,JALISCO,8
2020-04-02,MICHOACÁN DE OCAMPO,1
2020-04-02,MORELOS,8
2020-04-02,MÉXICO,49
2020-04-02,NUEVO LEÓN,5
2020-04-02,PUEBLA,19
2020-04-02,QUERÉTARO,1
2020-04-02,QUINTANA ROO,11
2020-04-02,SINALOA,28
2020-04-02,SONORA,3
2020-04-02,TABASCO,15
2020-04-02,TAMAULIPAS,1
2020-04-02,TLAXCALA,1
2020-04-02,VERACRUZ DE IGNACIO DE LA LLAVE,6
2020-04-02,YUCATÁN,2
2020-04-02,ZACATECAS,1
2020-04-03,AGUASCALIENTES,2
2020-04-03,BAJA CALIFORNIA,38
2020-04-03,BAJA CALIFORNIA SUR,16
2020-04-03,CAMPECHE,1
2020-04-03,CHIAPAS,5
2020-04-03,CHIHUAHUA,5
2020-04-03,CIUDAD DE MÉXICO,79
2020-04-03,COAHUILA DE ZARAGOZA,21
2020-04-03,GUANAJUATO,5
2020-04-03,GUERRERO,1
2020-04-03,HIDALGO,3
2020-04-03,JALISCO,10
2020-04-03,MICHOACÁN DE OCAMPO,6
2020-04-03,MORELOS,1
2020-04-03,MÉXICO,50
2020-04-03,NAYARIT,1
2020-04-03,NUEVO LEÓN,2
2020-04-03,OAXACA,3
2020-04-03,PUEBLA,14
2020-04-03,QUERÉTARO,3
2020-04-03,QUINTANA ROO,13
2020-04-03,SINALOA,10
2020-04-03,SONORA,1
2020-04-03,TABASCO,20
2020-04-03,TAMAULIPAS,9
2020-04-03,VERACRUZ DE IGNACIO DE LA LLAVE,8
2020-04-03,YUCATÁN,9
2020-04-04,BAJA CALIFORNIA,25
2020-04-04,BAJA CALIFORNIA SUR,5
2020-04-04,CHIAPAS,1
2020-04-04,CHIHUAHUA,9
2020-04-04,CIUDAD DE MÉXICO,57
2020-04-04,COAHUILA DE ZARAGOZA,11
2020-04-04,GUANAJUATO,3
2020-04-04,GUERRERO,2
2020-04-04,HIDALGO,2
2020-04-04,JALISCO,2
2020-04-04,MICHOACÁN DE OCAMPO,2
2020-04-04,MORELOS,3
2020-04-04,MÉXICO,34
2020-04-04,NAYARIT,4
2020-04-04,NUEVO LEÓN,3
2020-04-04,OAXACA,2
2020-04-04,PUEBLA,11
2020-04-04,QUERÉTARO,1
2020-04-04,QUINTANA ROO,8
2020-04-04,SAN LUIS POTOSÍ,3
2020-04-04,SINALOA,12
2020-04-04,SONORA,7
2020-04-04,TABASCO,3
2020-04-04,TAMAULIPAS,3
2020-04-04,TLAXCALA,2
2020-04-04,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-04-04,YUCATÁN,2
2020-04-04,ZACATECAS,1
2020-04-05,AGUASCALIENTES,2
2020-04-05,BAJA CALIFORNIA,20
2020-04-05,BAJA CALIFORNIA SUR,5
2020-04-05,CAMPECHE,3
2020-04-05,CHIAPAS,1
2020-04-05,CHIHUAHUA,12
2020-04-05,CIUDAD DE MÉXICO,55
2020-04-05,COAHUILA DE ZARAGOZA,4
2020-04-05,GUANAJUATO,3
2020-04-05,GUERRERO,3
2020-04-05,HIDALGO,2
2020-04-05,JALISCO,2
2020-04-05,MICHOACÁN DE OCAMPO,2
2020-04-05,MORELOS,3
2020-04-05,MÉXICO,41
2020-04-05,NAYARIT,2
2020-04-05,NUEVO LEÓN,1
2020-04-05,OAXACA,2
2020-04-05,PUEBLA,8
2020-04-05,QUINTANA ROO,10
2020-04-05,SAN LUIS POTOSÍ,2
2020-04-05,SINALOA,15
2020-04-05,SONORA,2
2020-04-05,TABASCO,9
2020-04-05,TAMAULIPAS,4
2020-04-05,TLAXCALA,6
2020-04-05,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-04-05,YUCATÁN,5
2020-04-05,ZACATECAS,1
2020-04-06,AGUASCALIENTES,4
2020-04-06,BAJA CALIFORNIA,70
2020-04-06,BAJA CALIFORNIA SUR,23
2020-04-06,CAMPECHE,2
2020-04-06,CHIAPAS,5
2020-04-06,CHIHUAHUA,11
2020-04-06,CIUDAD DE MÉXICO,118
2020-04-06,COAHUILA DE ZARAGOZA,25
2020-04-06,DURANGO,1
2020-04-06,GUANAJUATO,7
2020-04-06,GUERRERO,8
2020-04-06,HIDALGO,3
2020-04-06,JALISCO,4
2020-04-06,MICHOACÁN DE OCAMPO,6
2020-04-06,MORELOS,8
2020-04-06,MÉXICO,84
2020-04-06,NAYARIT,2
2020-04-06,NUEVO LEÓN,10
2020-04-06,OAXACA,5
2020-04-06,PUEBLA,24
2020-04-06,QUERÉTARO,4
2020-04-06,QUINTANA ROO,32
2020-04-06,SAN LUIS POTOSÍ,3
2020-04-06,SINALOA,27
2020-04-06,SONORA,11
2020-04-06,TABASCO,7
2020-04-06,TAMAULIPAS,10
2020-04-06,TLAXCALA,8
2020-04-06,VERACRUZ DE IGNACIO DE LA LLAVE,6
2020-04-06,YUCATÁN,12
2020-04-06,ZACATECAS,1
2020-04-07,AGUASCALIENTES,1
2020-04-07,BAJA CALIFORNIA,41
2020-04-07,BAJA CALIFORNIA SUR,24
2020-04-07,CHIAPAS,2
2020-04-07,CHIHUAHUA,7
2020-04-07,CIUDAD DE MÉXICO,127
2020-04-07,COAHUILA DE ZARAGOZA,8
2020-04-07,GUANAJUATO,6
2020-04-07,GUERRERO,11
2020-04-07,HIDALGO,3
2020-04-07,JALISCO,6
2020-04-07,MICHOACÁN DE OCAMPO,6
2020-04-07,MORELOS,6
2020-04-07,MÉXICO,73
2020-04-07,NAYARIT,2
2020-04-07,NUEVO LEÓN,7
2020-04-07,PUEBLA,13
2020-04-07,QUERÉTARO,5
2020-04-07,QUINTANA ROO,23
2020-04-07,SAN LUIS POTOSÍ,5
2020-04-07,SINALOA,20
2020-04-07,SONORA,14
2020-04-07,TABASCO,13
2020-04-07,TAMAULIPAS,7
2020-04-07,TLAXCALA,7
2020-04-07,VERACRUZ DE IGNACIO DE LA LLAVE,11
2020-04-07,YUCATÁN,13
2020-04-08,AGUASCALIENTES,1
2020-04-08,BAJA CALIFORNIA,58
2020-04-08,BAJA CALIFORNIA SUR,24
2020-04-08,CHIAPAS,6
2020-04-08,CHIHUAHUA,10
2020-04-08,CIUDAD DE MÉXICO,125
2020-04-08,COAHUILA DE ZARAGOZA,16
2020-04-08,DURANGO,1
2020-04-08,GUANAJUATO,8
2020-04-08,GUERRERO,6
2020-04-08,HIDALGO,1
2020-04-08,JALISCO,9
2020-04-08,MICHOACÁN DE OCAMPO,4
2020-04-08,MORELOS,6
2020-04-08,MÉXICO,89
2020-04-08,NAYARIT,2
2020-04-08,NUEVO LEÓN,9
2020-04-08,OAXACA,5
2020-04-08,PUEBLA,23
2020-04-08,QUERÉTARO,3
2020-04-08,QUINTANA ROO,26
2020-04-08,SAN LUIS POTOSÍ,2
2020-04-08,SINALOA,29
2020-04-08,SONORA,16
2020-04-08,TABASCO,18
2020-04-08,TAMAULIPAS,3
2020-04-08,TLAXCALA,6
2020-04-08,VERACRUZ DE IGNACIO DE LA LLAVE,5
2020-04-08,YUCATÁN,9
2020-04-08,ZACATECAS,2
2020-04-09,BAJA CALIFORNIA,58
2020-04-09,BAJA CALIFORNIA SUR,22
2020-04-09,CAMPECHE,2
2020-04-09,CHIAPAS,3
2020-04-09,CHIHUAHUA,8
2020-04-09,CIUDAD DE MÉXICO,127
2020-04-09,COAHUILA DE ZARAGOZA,6
2020-04-09,DURANGO,1
2020-04-09,GUANAJUATO,2
2020-04-09,GUERRERO,7
2020-04-09,JALISCO,5
2020-04-09,MICHOACÁN DE OCAMPO,9
2020-04-09,MORELOS,6
2020-04-09,MÉXICO,62
2020-04-09,NAYARIT,2
2020-04-09,NUEVO LEÓN,1
2020-04-09,OAXACA,1
2020-04-09,PUEBLA,12
2020-04-09,QUERÉTARO,3
2020-04-09,QUINTANA ROO,8
2020-04-09,SAN LUIS POTOSÍ,4
2020-04-09,SINALOA,12
2020-04-09,SONORA,6
2020-04-09,TABASCO,11
2020-04-09,TAMAULIPAS,5
2020-04-09,TLAXCALA,1
2020-04-09,VERACRUZ DE IGNACIO DE LA LLAVE,12
2020-04-09,YUCATÁN,11
2020-04-09,ZACATECAS,2
2020-04-10,AGUASCALIENTES,3
2020-04-10,BAJA CALIFORNIA,48
2020-04-10,BAJA CALIFORNIA SUR,9
2020-04-10,CAMPECHE,1
2020-04-10,CHIAPAS,3
2020-04-10,CHIHUAHUA,12
2020-04-10,CIUDAD DE MÉXICO,147
2020-04-10,COAHUILA DE ZARAGOZA,11
2020-04-10,GUANAJUATO,2
2020-04-10,GUERRERO,5
2020-04-10,HIDALGO,7
2020-04-10,JALISCO,8
2020-04-10,MICHOACÁN DE OCAMPO,3
2020-04-10,MORELOS,3
2020-04-10,MÉXICO,92
2020-04-10,NUEVO LEÓN,21
2020-04-10,OAXACA,2
2020-04-10,PUEBLA,8
2020-04-10,QUERÉTARO,2
2020-04-10,QUINTANA ROO,22
2020-04-10,SAN LUIS POTOSÍ,1
2020-04-10,SINALOA,33
2020-04-10,SONORA,7
2020-04-10,TABASCO,15
2020-04-10,TAMAULIPAS,9
2020-04-10,TLAXCALA,6
2020-04-10,VERACRUZ DE IGNACIO DE LA LLAVE,9
2020-04-10,YUCATÁN,4
2020-04-11,AGUASCALIENTES,1
2020-04-11,BAJA CALIFORNIA,33
2020-04-11,BAJA CALIFORNIA SUR,7
2020-04-11,CAMPECHE,5
2020-04-11,CHIAPAS,1
2020-04-11,CHIHUAHUA,13
2020-04-11,CIUDAD DE MÉXICO,110
2020-04-11,COAHUILA DE ZARAGOZA,9
2020-04-11,COLIMA,1
2020-04-11,DURANGO,1
2020-04-11,GUANAJUATO,4
2020-04-11,GUERRERO,5
2020-04-11,HIDALGO,3
2020-04-11,JALISCO,5
2020-04-11,MICHOACÁN DE OCAMPO,2
2020-04-11,MORELOS,2
2020-04-11,MÉXICO,78
2020-04-11,NAYARIT,2
2020-04-11,NUEVO LEÓN,8
2020-04-11,OAXACA,2
2020-04-11,PUEBLA,15
2020-04-11,QUERÉTARO,3
2020-04-11,QUINTANA ROO,17
2020-04-11,SAN LUIS POTOSÍ,3
2020-04-11,SINALOA,23
2020-04-11,SONORA,5
2020-04-11,TABASCO,19
2020-04-11,TAMAULIPAS,5
2020-04-11,TLAXCALA,6
2020-04-11,VERACRUZ DE IGNACIO DE LA LLAVE,14
2020-04-11,YUCATÁN,6
2020-04-11,ZACATECAS,2
2020-04-12,AGUASCALIENTES,2
2020-04-12,BAJA CALIFORNIA,44
2020-04-12,BAJA CALIFORNIA SUR,5
2020-04-12,CAMPECHE,2
2020-04-12,CHIHUAHUA,9
2020-04-12,CIUDAD DE MÉXICO,114
2020-04-12,COAHUILA DE ZARAGOZA,6
2020-04-12,COLIMA,2
2020-04-12,GUANAJUATO,1
2020-04-12,GUERRERO,12
2020-04-12,HIDALGO,4
2020-04-12,JALISCO,5
2020-04-12,MICHOACÁN DE OCAMPO,4
2020-04-12,MORELOS,4
2020-04-12,MÉXICO,84
2020-04-12,NAYARIT,4
2020-04-12,NUEVO LEÓN,15
2020-04-12,OAXACA,2
2020-04-12,PUEBLA,5
2020-04-12,QUERÉTARO,1
2020-04-12,QUINTANA ROO,22
2020-04-12,SINALOA,22
2020-04-12,SONORA,3
2020-04-12,TABASCO,27
2020-04-12,TAMAULIPAS,9
2020-04-12,TLAXCALA,2
2020-04-12,VERACRUZ DE IGNACIO DE LA LLAVE,9
2020-04-12,YUCATÁN,7
2020-04-12,ZACATECAS,1
2020-04-13,AGUASCALIENTES,7
2020-04-13,BAJA CALIFORNIA,81
2020-04-13,BAJA CALIFORNIA SUR,14
2020-04-13,CAMPECHE,2
2020-04-13,CHIAPAS,5
2020-04-13,CHIHUAHUA,18
2020-04-13,CIUDAD DE MÉXICO,268
